,POLIS,MTA,IoU,C-IoU,NR
ffl/224/v3_image_vit_cnn_bs4x16,3.44,43.4,0.823,0.657,0.78
ffl/224/v3_lidar_pp_vit_cnn_bs2x16,2.64,46,0.854,0.628,0.715
ffl/224/fusion_vit_cnn_bs16,2.89,49.2,0.833,0.507,0.586
hisup/224/v3_image_hrnet224_bs4x16,3.11,41.6,0.816,0.706,0.836
hisup/224/v3_lidar_pp_vit_cnn_bs2x16,2.33,40.5,0.825,0.69,0.794
hisup/224/early_fusion_vit_cnn_bs16,2.41,39.5,0.801,0.654,0.771
pix2poly/224/image_only_bs4x16,3.89,37.7,0.73,0.633,0.794
pix2poly/224/lidar_only_bs2x16,2.27,37.4,0.798,0.712,0.855
pix2poly/224/fusion_bs2x16,2.39,37.7,0.79,0.699,0.834
